;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
454;Les Corts;3;3;185;2.500 €;Piso
455;Vila de Gràcia;2;1;60;1.300 €;Apartamento
456;Esquerra Baixa de l´Eixample;2;2;95;1.800 €;Piso
457;Dreta de l´Eixample;2;2;95;1.550 €;Piso
458;Sarrià;5;5;250;4.350 €;Casa
459;Sant Ramon - Maternitat;3;2;120;1.500 €;Apartamento
460;Vila de Gràcia;2;1;110;1.100 €;Piso
461;Sant Ramon - Maternitat;2;2;93;1.200 €;Piso
462;Dreta de l´Eixample;2;1;60;1.350 €;Apartamento
463;Diagonal Mar - La Mar Bella;3;;110;1.500 €;Piso
464;Sagrada Família;4;2;85;1.375 €;Piso
465;Poble Sec;2;1;72;1.300 €;Piso
466;Diagonal Mar - La Mar Bella;4;2;140;4.500 €;Piso
467;Vila de Gràcia;3;2;124;1.400 €;Piso
468;Vila de Gràcia;3;2;124;1.400 €;Piso
469;Esquerra Baixa de l´Eixample;3;2;122;1.990 €;Piso
470;Esquerra Baixa de l´Eixample;;1;69;1.250 €;Piso
471;Diagonal Mar - La Mar Bella;4;2;125;2.500 €;Piso
472;Sant Ramon - Maternitat;4;3;140;2.150 €;Piso
473;Esquerra Baixa de l´Eixample;3;2;90;1.290 €;Piso
474;Putget - Farró;2;1;55;1.050 €;Piso
475;Dreta de l´Eixample;;1;52;800 €;Apartamento
476;Putget - Farró;4;2;152;2.600 €;Apartamento
477;Sant Gervasi - Galvany;4;2;188;1.850 €;Piso
478;Pedralbes;3;2;140;2.000 €;Piso
